comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.all_reduce,CommGroup.dp_group,32,8,init.model_setup,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.dp_group,32,8,init.model_setup,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.dp_group,32,8,init.model_setup,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.dp_group,32,8,init.model_setup,None,None,,None,None,None,1
CommType.all_gather,CommGroup.dp_group,32,32,init.model_setup,None,None,,None,None,None,1
CommType.broadcast,CommGroup.tp_group,1,24,init.model_setup,None,0,,None,None,None,1
CommType.all_gather,CommGroup.dp_group,32,64,init.model_setup,None,None,,None,None,None,1
CommType.epoch_end,None,None,0,,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,1,16384,forward_step._VocabParallelCrossEntropy,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,1,16384,forward_step._VocabParallelCrossEntropy,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,1,16384,forward_step._VocabParallelCrossEntropy,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.dp_group,32,4,forward_step.average_losses_across_data_parallel_group,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,1,16384,forward_step._VocabParallelCrossEntropy,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,1,16384,forward_step._VocabParallelCrossEntropy,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,1,16384,forward_step._VocabParallelCrossEntropy,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.dp_group,32,4,forward_step.average_losses_across_data_parallel_group,None,None,,None,None,None,1
CommType.reduce_scatter,CommGroup.dp_group,32,325539760896,step,None,None,,None,None,None,1
CommType.all_gather,CommGroup.dp_group,32,162769880448,step,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,1,0,step._allreduce_layernorm_grads,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,1,4,step.check_for_nan,None,None,,None,None,None,1
CommType.epoch_end,None,None,0,,None,None,,None,None,None,1
